city,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Ashville,9988028,25689918,28732,35.43400568,-82.52514429,Private room,40,1,10,4/12/2016,2.7,1,83
Ashville,5382711,15492395,28732,35.43787687,-82.45469895,Private room,49,1,2,11/1/2015,0.31,3,319
Ashville,6001883,10592931,28732,35.429399,-82.5108621,Private room,60,1,36,3/26/2016,2.93,1,358
Ashville,8592142,45217605,28732,35.44002376,-82.52258296,Entire home/apt,75,1,11,2/27/2016,1.76,1,55
Ashville,7901875,41665227,28732,35.46840776,-82.4716178,Private room,75,2,5,4/1/2016,0.61,1,362
Ashville,3738456,19111238,28732,35.43717484,-82.4623203,Private room,75,3,5,3/8/2016,0.45,1,365
Ashville,6079982,3572350,28732,35.42342431,-82.47322395,Entire home/apt,86,1,30,4/12/2016,2.69,1,305
Ashville,11824960,13713930,28732,35.44067931,-82.52874577,Private room,95,1,1,4/9/2016,1,1,361
Ashville,8453543,9927804,28732,35.48736394,-82.44012887,Entire home/apt,100,2,9,3/30/2016,1.27,1,57
Ashville,2810539,8752490,28732,35.48721384,-82.41730445,Private room,105,1,4,8/10/2015,0.18,1,365
Ashville,5635638,22017512,28732,35.45567693,-82.47238548,Entire home/apt,125,2,15,4/10/2016,1.19,1,365
Ashville,714699,3680761,28732,35.47197528,-82.42802273,Entire home/apt,134,2,14,1/26/2016,0.33,1,302
Ashville,3331316,15646437,28732,35.40863703,-82.56754143,Entire home/apt,140,2,81,4/18/2016,3.96,1,217
Ashville,4846733,24938934,28732,35.44559699,-82.46756025,Entire home/apt,220,2,8,4/6/2016,0.66,1,236
Ashville,3757445,4687498,28732,35.40770177,-82.49648914,Entire home/apt,225,2,1,11/2/2015,0.17,1,253
Ashville,6248655,28002273,28801,35.60301726,-82.54528787,Private room,23,1,23,4/22/2016,2.12,2,324
Ashville,8782463,11246730,28801,35.60653967,-82.54343442,Private room,39,1,28,4/14/2016,4.44,1,281
Ashville,6145162,7625694,28801,35.59057698,-82.55013556,Private room,45,2,37,4/17/2016,3.14,5,64
Ashville,10099509,51827781,28801,35.61119586,-82.55819657,Shared room,48,2,6,4/17/2016,3.91,1,22
Ashville,8304698,43785888,28801,35.6075409,-82.56299756,Entire home/apt,49,1,27,4/16/2016,4.18,1,135
Ashville,695196,3552264,28801,35.58037493,-82.5578006,Private room,49,1,410,4/11/2016,9.45,1,292
Ashville,8654108,5686055,28801,35.58635223,-82.55013541,Private room,50,1,34,4/18/2016,5.15,2,82
Ashville,6148442,2208876,28801,35.59130277,-82.55293969,Private room,50,2,22,4/3/2016,1.84,9,149
Ashville,6305325,2208876,28801,35.59131499,-82.55429767,Private room,50,2,11,3/26/2016,1.06,9,159
Ashville,6571452,2208876,28801,35.59214133,-82.55467477,Private room,50,2,30,4/8/2016,2.75,9,163
Ashville,6576184,2208876,28801,35.59158276,-82.55440432,Private room,50,2,16,2/20/2016,1.58,9,166
Ashville,6317859,2208876,28801,35.59243331,-82.55457952,Private room,50,2,15,10/22/2015,1.34,9,170
Ashville,6303415,2208876,28801,35.59299676,-82.55441157,Private room,54,2,24,3/20/2016,2.07,9,139
Ashville,7148635,2208876,28801,35.59259507,-82.55264417,Private room,54,2,19,3/25/2016,2.13,9,143
Ashville,6135386,2208876,28801,35.59296468,-82.55264143,Private room,54,2,26,3/17/2016,2.22,9,152
Ashville,11082196,50979208,28801,35.57485041,-82.55932437,Private room,59,1,7,4/17/2016,5.53,1,26
Ashville,1827412,7625694,28801,35.59223633,-82.55119913,Private room,59,2,138,4/10/2016,5.11,5,321
Ashville,4449084,9595908,28801,35.60717603,-82.56061208,Private room,60,1,20,8/7/2015,1.41,1,0
Ashville,5685113,29468279,28801,35.59654855,-82.56987821,Private room,60,1,26,4/10/2016,1.95,2,52
Ashville,1702227,5199086,28801,35.58264683,-82.54900402,Private room,60,1,76,4/12/2016,2.44,2,340
Ashville,10366140,10216494,28801,35.60857323,-82.55839516,Private room,60,1,3,4/10/2016,3,2,342
Ashville,9450094,10216494,28801,35.60488022,-82.56058579,Private room,60,1,26,4/18/2016,5.13,2,350
Ashville,2295996,7535860,28801,35.60206513,-82.55885412,Private room,62,1,167,4/4/2016,6.36,3,278
Ashville,2222067,11336944,28801,35.58224763,-82.5581363,Private room,65,2,9,4/4/2016,4.03,1,156
Ashville,4183263,21702976,28801,35.60363133,-82.55171803,Private room,65,2,118,4/12/2016,6.36,2,172
Ashville,4191204,21702976,28801,35.6044961,-82.55212892,Private room,65,2,163,4/17/2016,8.7,2,183
Ashville,2411109,7535860,28801,35.6004791,-82.55759304,Private room,66,1,227,4/6/2016,8.98,3,296
Ashville,2296152,7535860,28801,35.60402536,-82.56100725,Private room,66,1,273,4/17/2016,10.3,3,316
Ashville,6399802,7625694,28801,35.59084954,-82.5496978,Private room,69,2,70,4/13/2016,6.21,5,317
Ashville,1415137,7625694,28801,35.5922331,-82.55013936,Private room,69,2,150,4/16/2016,4.5,5,326
Ashville,4917118,19257625,28801,35.60774675,-82.55990161,Private room,70,1,56,4/10/2016,3.64,1,322
Ashville,2541399,12545609,28801,35.60929827,-82.54799332,Private room,70,2,21,4/5/2016,0.87,1,75
Ashville,1373040,7308139,28801,35.59223089,-82.54798085,Private room,74,1,140,4/14/2016,4.17,1,76
Ashville,8209645,5686055,28801,35.58666668,-82.54907327,Private room,75,1,54,4/17/2016,7.33,2,75
Ashville,4921557,10563672,28801,35.58592406,-82.55128066,Private room,75,2,49,4/6/2016,3.41,2,104
Ashville,6818139,7625694,28801,35.59132487,-82.55100554,Private room,77,1,69,4/17/2016,6.72,5,143
Ashville,2847157,12866312,28801,35.5822976,-82.55772968,Private room,77,1,97,4/7/2016,4.17,2,339
Ashville,11369603,59583579,28801,35.59921457,-82.55593407,Private room,77,1,7,4/10/2016,3.75,1,355
Ashville,3945733,20447538,28801,35.6105263,-82.55581677,Entire home/apt,79,1,122,4/17/2016,6.47,2,306
Ashville,4276630,22201910,28801,35.606096,-82.5660118,Private room,79,1,4,4/17/2016,4,2,357
Ashville,9363548,20578434,28801,35.5893292,-82.54453839,Private room,80,2,17,4/17/2016,4.55,2,103
Ashville,10360188,1137761,28801,35.6012292,-82.55608432,Private room,85,1,5,4/5/2016,1.55,1,73
Ashville,8634354,45401193,28801,35.59686069,-82.56654157,Private room,85,1,23,4/17/2016,3.52,1,334
Ashville,12186372,22215473,28801,35.59129378,-82.56341411,Entire home/apt,85,1,3,4/17/2016,3,1,337
Ashville,2064636,10563672,28801,35.58897377,-82.54868964,Private room,85,2,38,4/15/2016,3.25,2,120
Ashville,1586906,5601328,28801,35.60822867,-82.56212018,Private room,85,2,37,4/19/2016,1.19,1,299
Ashville,2092563,1666202,28801,35.60188618,-82.56173088,Entire home/apt,85,3,85,3/29/2016,3.02,1,17
Ashville,4394761,20447538,28801,35.61243529,-82.55723745,Entire home/apt,86,1,44,3/13/2016,3.41,2,309
Ashville,5262825,27244058,28801,35.60503269,-82.54633738,Entire home/apt,88,1,104,4/13/2016,8.23,1,266
Ashville,1441145,5761783,28801,35.60290505,-82.55923921,Private room,88,2,93,4/17/2016,2.84,1,342
Ashville,444540,2208876,28801,35.59114798,-82.55253315,Entire home/apt,88,3,40,4/4/2016,3.36,9,109
Ashville,8983489,167564,28801,35.59727602,-82.56434474,Entire home/apt,89,2,26,4/7/2016,4.31,1,137
Ashville,1578831,6618494,28801,35.60602628,-82.55361775,Entire home/apt,89,3,76,4/12/2016,2.37,2,159
Ashville,3649639,18450336,28801,35.60815229,-82.56361031,Entire home/apt,90,1,118,3/22/2016,5.57,1,246
Ashville,11143250,57914006,28801,35.59262547,-82.54360728,Private room,90,1,7,4/11/2016,3.04,1,349
Ashville,10496018,53452439,28801,35.60363856,-82.57520285,Private room,90,1,3,3/14/2016,1.5,4,361
Ashville,10496778,53452439,28801,35.60371634,-82.57521161,Private room,90,1,3,4/11/2016,2.81,4,365
Ashville,8531465,8035294,28801,35.6027481,-82.55935099,Entire home/apt,90,3,22,4/7/2016,3.32,2,147
Ashville,6503015,1884805,28801,35.60002162,-82.55780372,Private room,95,1,60,4/19/2016,5.59,1,322
Ashville,5917298,30728739,28801,35.60952035,-82.55373961,Private room,95,1,63,4/18/2016,5.01,1,343
Ashville,7319238,38343845,28801,35.60349418,-82.56651197,Private room,95,2,21,4/15/2016,2.74,1,10
Ashville,6072952,6473937,28801,35.61321605,-82.54878672,Private room,95,2,14,10/5/2015,1.26,1,295
Ashville,495111,12874214,28801,35.60313183,-82.55551556,Private room,95,2,89,4/19/2016,1.9,2,349
Ashville,6557001,32520900,28801,35.60108626,-82.55971499,Private room,97,2,19,1/18/2016,1.95,1,143
Ashville,2011367,10349105,28801,35.59986255,-82.54458649,Entire home/apt,99,2,62,4/11/2016,2.17,1,154
Ashville,6575162,11706210,28801,35.61301404,-82.55861958,Entire home/apt,99,2,29,3/21/2016,2.78,1,355
Ashville,2165569,1457357,28801,35.60582371,-82.54794587,Entire home/apt,99,7,123,4/11/2016,4.74,1,198
Ashville,8485640,16207642,28801,35.60951165,-82.55875903,Private room,100,1,5,12/29/2015,0.77,2,186
Ashville,5402001,28002273,28801,35.60329579,-82.5456937,Entire home/apt,100,1,27,4/14/2016,2.38,2,323
Ashville,6415234,19960302,28801,35.60197066,-82.55382334,Entire home/apt,100,2,5,12/1/2015,0.51,1,0
Ashville,8086380,39744603,28801,35.59125456,-82.54350911,Entire home/apt,100,2,5,12/28/2015,0.7,1,0
Ashville,3066648,15605872,28801,35.59144776,-82.56618511,Entire home/apt,100,3,68,4/15/2016,2.94,1,0
Ashville,9022608,34263964,28801,35.60642983,-82.55222278,Entire home/apt,105,1,27,4/15/2016,5.29,1,318
Ashville,3040444,12874214,28801,35.60276838,-82.55587339,Entire home/apt,105,2,107,4/18/2016,4.65,2,347
Ashville,4937608,6101703,28801,35.60512023,-82.56562429,Private room,109,1,41,3/26/2016,2.99,1,358
Ashville,7842477,9581447,28801,35.59828516,-82.56607712,Entire home/apt,109,2,19,4/17/2016,2.41,1,20
Ashville,12052034,3114042,28801,35.59865996,-82.56389295,Entire home/apt,110,1,1,4/11/2016,1,1,21
Ashville,1245011,2759944,28801,35.59916469,-82.57060352,Entire home/apt,110,2,33,3/8/2016,0.96,1,52
Ashville,880283,4470272,28801,35.60033281,-82.56542469,Entire home/apt,110,2,219,4/14/2016,5.77,2,159
Ashville,1212352,6618494,28801,35.59941874,-82.56189122,Entire home/apt,110,3,92,4/4/2016,2.77,2,49
Ashville,579405,940569,28801,35.60677387,-82.56625106,Entire home/apt,113,3,130,4/4/2016,2.86,6,224
Ashville,193830,940569,28801,35.60736453,-82.56678098,Entire home/apt,113,3,167,4/8/2016,2.97,6,225
Ashville,5683703,29468279,28801,35.59738325,-82.57057186,Entire home/apt,115,1,16,3/6/2016,1.23,2,36
Ashville,7947839,41909545,28801,35.60128557,-82.55559656,Entire home/apt,115,1,55,4/15/2016,7.43,1,282
Ashville,8364614,44086762,28801,35.58737558,-82.55137061,Entire home/apt,115,2,6,3/20/2016,0.88,1,259
Ashville,6528101,732792,28801,35.60773836,-82.54854156,Entire home/apt,115,2,14,4/17/2016,1.6,1,267
Ashville,6452410,16023445,28801,35.61169508,-82.55088049,Entire home/apt,115,2,25,11/1/2015,2.57,1,328
Ashville,7418991,23092470,28801,35.59140216,-82.55444752,Entire home/apt,117,1,70,4/15/2016,7.81,1,243
Ashville,5851392,5664205,28801,35.59712058,-82.57044258,Entire home/apt,120,1,19,3/19/2016,1.48,1,307
Ashville,8503329,22201910,28801,35.60466001,-82.56724702,Entire home/apt,120,1,38,4/17/2016,8.84,2,315
Ashville,3563399,10654807,28801,35.60983194,-82.56055644,Entire home/apt,120,2,61,4/17/2016,2.85,1,336
Ashville,1574329,3736218,28801,35.57410147,-82.55677358,Private room,123,2,1,2/28/2016,0.55,2,313
Ashville,233377,940569,28801,35.60672253,-82.56658762,Entire home/apt,124,3,76,12/14/2015,1.51,6,119
Ashville,10307715,53036499,28801,35.59279238,-82.54328602,Entire home/apt,125,1,1,4/4/2016,1,1,11
Ashville,4021238,2363548,28801,35.60314195,-82.55836771,Entire home/apt,125,2,5,2/15/2015,0.26,1,212
Ashville,943832,5107042,28801,35.6116952,-82.57668493,Entire home/apt,125,2,42,4/11/2016,1.19,1,310
Ashville,6913630,30982884,28801,35.60377524,-82.56032329,Entire home/apt,125,2,46,4/17/2016,5.33,1,312
Ashville,3868910,19977236,28801,35.59157308,-82.56673078,Entire home/apt,125,2,99,4/5/2016,4.87,1,342
Ashville,9444204,48943838,28801,35.60461312,-82.55835213,Entire home/apt,125,2,11,4/5/2016,2.44,1,352
Ashville,2607570,13238922,28801,35.60605773,-82.54350506,Entire home/apt,125,2,48,3/30/2016,1.98,1,353
Ashville,2477628,8035294,28801,35.5893887,-82.56781931,Entire home/apt,125,3,63,4/4/2016,2.53,2,158
Ashville,6711659,35135871,28801,35.59033445,-82.54559039,Entire home/apt,125,3,37,4/17/2016,3.71,1,340
Ashville,160594,769252,28801,35.61441737,-82.54126653,Private room,125,3,58,10/19/2015,1.01,1,365
Ashville,6964842,36518892,28801,35.61186949,-82.55574014,Private room,129,1,31,2/21/2016,3.1,1,203
Ashville,2079404,4898847,28801,35.6014853,-82.55718784,Private room,129,2,22,3/15/2016,0.86,7,298
Ashville,2214960,11297481,28801,35.61054388,-82.55333794,Entire home/apt,130,1,43,4/5/2016,1.81,3,9
Ashville,436476,478398,28801,35.60227811,-82.55611394,Entire home/apt,135,2,104,4/16/2016,2.2,1,94
Ashville,2226812,4898847,28801,35.60105797,-82.55770099,Private room,139,1,9,3/19/2016,0.37,7,283
Ashville,912814,4898847,28801,35.60055214,-82.55609426,Private room,139,2,14,1/19/2016,0.5,7,203
Ashville,2226571,4898847,28801,35.6011066,-82.55737885,Private room,139,2,6,12/1/2015,0.29,7,280
Ashville,10884543,56398087,28801,35.60895705,-82.55131229,Entire home/apt,140,2,7,4/11/2016,3.04,1,291
Ashville,8443279,18376463,28801,35.61017615,-82.55401849,Entire home/apt,145,2,9,1/19/2016,1.52,1,309
Ashville,9234967,48002359,28801,35.60541054,-82.57524274,Entire home/apt,145,2,11,4/18/2016,1.98,1,333
Ashville,723349,3736218,28801,35.57435844,-82.55622671,Private room,148,2,2,5/13/2015,0.09,2,311
Ashville,4431352,23004961,28801,35.6011743,-82.56416786,Entire home/apt,149,1,8,3/20/2016,0.47,1,88
Ashville,2215202,4898847,28801,35.60079402,-82.55757063,Private room,149,1,20,3/19/2016,0.8,7,297
Ashville,2708104,11297481,28801,35.61120823,-82.55286193,Entire home/apt,150,1,42,11/1/2015,1.71,3,139
Ashville,7438838,21313437,28801,35.60803576,-82.557776,Entire home/apt,150,2,2,2/22/2016,0.31,1,22
Ashville,1713477,2033434,28801,35.60871488,-82.55298642,Entire home/apt,150,2,59,4/5/2016,3.33,1,307
Ashville,2108335,3383961,28801,35.58601261,-82.55628116,Entire home/apt,150,2,99,4/18/2016,3.52,2,308
Ashville,1687950,8921220,28801,35.60098033,-82.5591997,Entire home/apt,150,3,68,3/26/2016,3.08,1,294
Ashville,1727977,320564,28801,35.60566706,-82.55658855,Entire home/apt,150,3,79,4/12/2016,2.57,1,309
Ashville,734469,3736794,28801,35.6008409,-82.55646013,Entire home/apt,150,7,2,3/23/2016,0.05,2,111
Ashville,6674139,11297481,28801,35.61133189,-82.55476905,Entire home/apt,155,1,28,4/17/2016,2.68,3,43
Ashville,1955727,10108575,28801,35.60378958,-82.54771656,Entire home/apt,159,1,98,4/10/2016,3.34,1,5
Ashville,3506747,17654471,28801,35.59563185,-82.55069153,Entire home/apt,160,2,74,4/11/2016,3.41,1,331
Ashville,1852818,9674379,28801,35.61295249,-82.54774928,Entire home/apt,160,2,59,4/11/2016,2.03,1,344
Ashville,10922152,39286676,28801,35.58251512,-82.56264085,Entire home/apt,169,1,5,4/5/2016,2.38,4,359
Ashville,840696,4390477,28801,35.58394677,-82.56161236,Entire home/apt,170,2,150,4/21/2016,3.73,1,325
Ashville,8664712,45522770,28801,35.59969004,-82.55986365,Entire home/apt,175,2,20,4/11/2016,3.23,1,299
Ashville,6863511,35966416,28801,35.59644607,-82.56020407,Entire home/apt,175,2,17,4/12/2016,1.66,1,334
Ashville,4174356,11982753,28801,35.59040189,-82.55819822,Entire home/apt,179,2,106,4/17/2016,5.6,2,279
Ashville,8673686,11982753,28801,35.59077199,-82.55895488,Entire home/apt,179,2,31,4/14/2016,5.54,2,290
Ashville,435770,2164379,28801,35.60354912,-82.57154962,Entire home/apt,180,2,114,9/29/2015,2.36,1,107
Ashville,8624659,42676282,28801,35.59496916,-82.55425317,Entire home/apt,180,2,27,4/10/2016,4.68,1,143
Ashville,5213038,16596642,28801,35.60064752,-82.55764992,Entire home/apt,180,2,74,4/17/2016,5.12,1,282
Ashville,5144212,6074062,28801,35.59660715,-82.55295083,Entire home/apt,185,2,76,4/11/2016,5.53,3,319
Ashville,7627408,39286676,28801,35.58085189,-82.5627424,Entire home/apt,189,2,19,4/5/2016,2.22,4,358
Ashville,2326086,2307713,28801,35.59651753,-82.55232751,Entire home/apt,190,1,51,4/12/2016,1.91,1,259
Ashville,12189623,46228285,28801,35.61453223,-82.54326212,Entire home/apt,190,2,1,4/18/2016,1,2,32
Ashville,12105828,46228285,28801,35.61508113,-82.54135891,Entire home/apt,190,2,1,4/11/2016,1,2,117
Ashville,1499885,8015116,28801,35.59539544,-82.55252283,Entire home/apt,192,2,123,4/9/2016,3.84,1,321
Ashville,11167742,58101581,28801,35.58996928,-82.56313455,Entire home/apt,195,2,6,4/17/2016,2.9,1,142
Ashville,10524188,28629826,28801,35.59557917,-82.55383642,Entire home/apt,195,2,2,4/1/2016,1.62,1,328
Ashville,9794899,50478143,28801,35.59519891,-82.55388345,Entire home/apt,195,3,2,3/23/2016,1.76,1,249
Ashville,632766,3148082,28801,35.60460522,-82.56517898,Entire home/apt,195,3,4,3/26/2016,0.09,1,262
Ashville,731073,3803669,28801,35.60253143,-82.56903809,Entire home/apt,198,2,40,3/15/2016,0.94,1,179
Ashville,8173732,32163305,28801,35.60637355,-82.54732219,Entire home/apt,198,2,14,4/8/2016,1.83,1,343
Ashville,5355078,4898847,28801,35.60145855,-82.55777245,Private room,199,2,5,12/21/2015,0.4,7,347
Ashville,10263107,52768352,28801,35.59871358,-82.56136455,Entire home/apt,199,3,2,4/11/2016,0.62,1,217
Ashville,10140699,7528625,28801,35.60672688,-82.55716546,Entire home/apt,200,1,5,2/21/2016,1.27,1,282
Ashville,11773647,58867576,28801,35.60808534,-82.55086854,Entire home/apt,200,2,2,4/17/2016,2,1,44
Ashville,9464561,14338375,28801,35.59639102,-82.55263341,Entire home/apt,200,2,12,4/13/2016,2.48,1,319
Ashville,4515772,17363326,28801,35.59190594,-82.54488061,Entire home/apt,200,3,37,4/17/2016,2.09,1,153
Ashville,12229453,61981814,28801,35.58958836,-82.56458308,Entire home/apt,205,1,1,4/11/2016,1,1,336
Ashville,1223683,427027,28801,35.59768162,-82.55391083,Entire home/apt,215,2,29,2/24/2016,1.14,7,336
Ashville,2209375,2596933,28801,35.6012988,-82.55634263,Entire home/apt,215,3,52,4/4/2016,2.15,1,202
Ashville,6180513,32054468,28801,35.59337944,-82.56081733,Entire home/apt,216,3,6,11/17/2015,0.56,1,281
Ashville,10909034,7067265,28801,35.58810101,-82.56741727,Entire home/apt,220,2,3,4/11/2016,1.3,1,0
Ashville,971003,5306734,28801,35.60422648,-82.57153708,Entire home/apt,220,3,57,4/11/2016,1.56,1,296
Ashville,4444689,23068210,28801,35.608044,-82.55942366,Entire home/apt,225,2,6,4/10/2016,1.64,1,323
Ashville,3439245,17308817,28801,35.60061181,-82.55857111,Entire home/apt,245,2,34,3/26/2016,1.56,1,350
Ashville,11186065,58230160,28801,35.59665276,-82.55373521,Entire home/apt,250,2,10,4/13/2016,6.52,1,180
Ashville,291937,397780,28801,35.59086512,-82.55142654,Entire home/apt,250,2,76,4/16/2016,1.62,1,332
Ashville,3445948,3079174,28801,35.60559281,-82.5500649,Entire home/apt,250,2,37,4/17/2016,1.75,1,345
Ashville,433646,1931430,28801,35.57771445,-82.56094211,Entire home/apt,250,2,66,4/10/2016,1.38,1,352
Ashville,7665735,39286676,28801,35.58152091,-82.56122622,Entire home/apt,289,2,3,9/11/2015,0.35,4,362
Ashville,10122830,3838067,28801,35.58798708,-82.5586593,Entire home/apt,290,3,1,1/3/2016,0.27,1,0
Ashville,720609,427027,28801,35.59805556,-82.55256091,Entire home/apt,295,2,25,3/28/2016,0.59,7,343
Ashville,6091389,31608670,28801,35.60105236,-82.5435603,Entire home/apt,300,2,6,3/13/2016,0.53,1,357
Ashville,5507900,28567369,28801,35.59526201,-82.55416597,Entire home/apt,300,3,5,4/6/2016,0.44,1,310
Ashville,6512423,34049461,28801,35.58923928,-82.5460941,Entire home/apt,300,7,1,10/24/2015,0.17,1,363
Ashville,1583423,427027,28801,35.59840389,-82.55226913,Entire home/apt,305,2,23,4/10/2016,1.12,7,361
Ashville,80905,427027,28801,35.5970064,-82.55237012,Entire home/apt,315,2,54,4/19/2016,0.96,7,346
Ashville,990426,427027,28801,35.59850007,-82.55242401,Entire home/apt,315,2,28,2/15/2016,0.85,7,348
Ashville,5839119,30315956,28801,35.60192786,-82.56341807,Entire home/apt,350,2,19,3/29/2016,1.6,1,296
Ashville,2569529,8671251,28801,35.60044596,-82.55586516,Entire home/apt,350,2,9,12/20/2015,0.36,1,353
Ashville,8813084,2044026,28801,35.60480458,-82.57449038,Entire home/apt,350,2,5,2/10/2016,0.86,1,354
Ashville,1223655,427027,28801,35.59671856,-82.55362345,Entire home/apt,415,2,15,4/17/2016,0.45,7,330
Ashville,4907244,4898847,28801,35.59985773,-82.55726179,Entire home/apt,850,2,14,12/7/2015,0.96,7,259
Ashville,1243512,427027,28801,35.59820627,-82.55274067,Entire home/apt,1550,1,18,1/11/2016,0.72,7,348
Ashville,4288329,22263182,28803,35.55121508,-82.52949579,Private room,35,2,1,10/19/2014,0.05,1,365
Ashville,3314819,16296123,28803,35.49099138,-82.51286705,Private room,37,1,203,4/2/2016,9.12,2,314
Ashville,11646130,7073079,28803,35.56250011,-82.48649886,Private room,40,2,1,4/11/2016,1,6,174
